Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
23692271,Sapiens: A Brief History of Humankind,Yuval Noah Harari,"Harari, Yuval Noah",,"=""""","=""""",0,4.35,Vintage,Paperback,512,2015,2011,,2020/05/03,audiobooks-listened,audiobooks-listened (#87),audiobooks-listened,,,,0,0
1898,Into Thin Air: A Personal Account of the Mt. Everest Disaster,Jon Krakauer,"Krakauer, Jon",,"=""""","=""""",5,4.25,Anchor Books,Paperback,368,1999,1997,,2020/05/03,,,read,,,,1,0
1842,"Guns, Germs, and Steel: The Fates of Human Societies",Jared Diamond,"Diamond, Jared",,"=""0739467352""","=""9780739467350""",0,4.04,W.W. Norton & Company,Paperback,498,2005,1997,,2020/05/03,,,read,,,,1,0
21996,The Devil in the White City,Erik Larson,"Larson, Erik",Tony Goldwyn,"=""0739303406""","=""9780739303405""",0,4.00,Random House Audio Publishing Group,Paperback,496,2003,2003,,2020/05/03,,,read,,,,1,0
43582376,The Body: A Guide for Occupants,Bill Bryson,"Bryson, Bill",,"=""0385539304""","=""9780385539302""",0,4.32,Doubleday Books,Hardcover,450,2019,2019,,2020/05/03,to-read,to-read (#39),to-read,,,,0,0
25,I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away,Bill Bryson,"Bryson, Bill",,"=""076790382X""","=""9780767903820""",0,3.90,Broadway Books,Paperback,304,2000,1998,,2020/05/03,,,read,,,,1,0
24,In a Sunburned Country,Bill Bryson,"Bryson, Bill",,"=""0767903862""","=""9780767903868""",0,4.08,Broadway Books,Paperback,335,2001,2000,,2020/05/03,,,read,,,,1,0
21,A Short History of Nearly Everything,Bill Bryson,"Bryson, Bill",,"=""076790818X""","=""9780767908184""",0,4.22,Crown,Paperback,544,2004,2003,,2020/05/03,,,read,,,,1,0
9791,A Walk in the Woods: Rediscovering America on the Appalachian Trail,Bill Bryson,"Bryson, Bill",,"=""0307279464""","=""9780307279460""",0,4.07,Vintage,Mass Market Paperback,397,2006,1998,,2020/05/03,,,read,,,,1,0
16240761,The Son,Philipp Meyer,"Meyer, Philipp",,"=""0062120395""","=""9780062120397""",4,4.03,Ecco,Hardcover,561,2013,2013,,2020/05/03,audiobooks-listened,audiobooks-listened (#86),audiobooks-listened,,,,1,0
33572350,My Absolute Darling,Gabriel Tallent,"Tallent, Gabriel",,"=""0735211175""","=""9780735211179""",0,3.61,Riverhead Books,Hardcover,417,2017,2017,,2020/05/03,to-read,to-read (#38),to-read,,,,0,0
18007564,The Martian,Andy Weir,"Weir, Andy",,"=""0804139024""","=""9780804139021""",4,4.42,Ballantine Books,Hardcover,384,2014,2011,,2018/05/04,audiobooks-listened,audiobooks-listened (#85),audiobooks-listened,,,,1,0
42627633,Jester's Fortune (The Alan Lewrie Naval Adventures Book 8),Dewey Lambdin,"Lambdin, Dewey",,"=""178863327X""","=""9781788633277""",3,4.11,Canelo Adventure,Kindle Edition,448,2018,1999,2020/04/25,2020/03/09,,,read,,,,1,0
32726815,"Runnin' with the Devil: A Backstage Pass to the Wild Times, Loud Rock, and the Down and Dirty Truth Behind the Making of Van Halen",Noel E. Monk,"Monk, Noel E.",Joe Layden,"=""""","=""""",4,4.01,Dey Street Books,Kindle Edition,371,2017,2017,2020/03/09,2020/03/09,audiobooks-listened,audiobooks-listened (#84),audiobooks-listened,,,,1,0
40591955,A Death in the Rainforest: How a Language and a Way of Life Came to an End in Papua New Guinea,Don Kulick,"Kulick, Don",,"=""1616209046""","=""9781616209049""",4,4.16,Algonquin Books,Hardcover,288,2019,2019,2020/03/06,2019/10/28,audiobooks-listened,audiobooks-listened (#83),audiobooks-listened,,,,2,0
29983711,Pachinko,Min Jin Lee,"Lee, Min Jin",,"=""1455563935""","=""9781455563937""",2,4.34,Grand Central Publishing,Hardcover,490,2017,2017,2020/02/26,2017/12/20,audiobooks-listened,audiobooks-listened (#82),audiobooks-listened,,,,1,0
29430012,A Gentleman in Moscow,Amor Towles,"Towles, Amor",,"=""""","=""""",0,4.32,Viking,Hardcover,462,2016,2016,,2018/07/06,audiobooks-listened,audiobooks-listened (#81),audiobooks-listened,,,,0,0
181195,"The King's Coat (Alan Lewrie, #1)",Dewey Lambdin,"Lambdin, Dewey",,"=""0449003604""","=""9780449003602""",0,4.10,Fawcett,Mass Market Paperback,384,1998,1989,,2020/01/02,,,read,,,,1,0
31675787,"Beartown (Beartown, #1)",Fredrik Backman,"Backman, Fredrik",,"=""""","=""""",4,4.29, Atria Books,ebook,432,2017,2016,2020/01/02,2019/11/07,,,read,,,,1,0
43701061,The Guardians,John Grisham,"Grisham, John",,"=""0385544189""","=""9780385544184""",3,4.14,Doubleday,Hardcover,370,2019,2019,,2019/12/08,,,read,,,,1,0
